case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
xerox7_m_t0p01-w2,946615675,7,12,86462.406592,11.258126,68.205491,82.940000,1276.963006,35.294721,36.180000,0.252000,11.604000,
xerox7_m_t0p01-w2,1056634028,7,12,92883.173148,12.094163,67.297854,79.870000,1314.765212,35.087128,37.471440,0.263000,11.246000,
xerox7_m_t0p01-w2,1486441653,7,12,122890.103690,16.001316,66.123425,81.430000,1369.955613,40.056630,34.200471,0.265000,10.929000,
xerox7_m_t0p01-w50,946615675,7,12,280419.815960,36.512997,59.583918,78.700000,2980.089957,59.444190,50.132569,0.277000,8.692000,
xerox7_m_t0p01-w50,1056634028,7,12,116621.213922,15.185054,66.420508,82.450000,1489.865931,38.036734,39.169134,0.245000,10.797000,
xerox7_m_t0p01-w50,1486441653,7,12,146236.461052,19.041206,67.384607,85.330000,1464.519709,38.039139,38.500338,0.257000,10.882000,
xerox7_m_t0p03-w0,946615675,7,12,134151.426804,17.467634,64.665181,78.110000,1733.232601,42.590533,40.695255,0.312000,10.369000,
xerox7_m_t0p03-w0,1056634028,7,12,154120.379400,20.067758,66.950947,80.270000,1373.887667,37.622866,36.517358,0.304000,11.219000,
xerox7_m_t0p03-w0,1486441653,7,12,136554.130688,17.780486,64.694893,78.300000,1653.754675,37.983082,43.539244,0.314000,10.488000,
xerox7_m_t0p03-w0p02,946615675,7,12,123376.404362,16.064636,65.283665,80.270000,1576.358712,41.905026,37.617414,0.301000,10.389000,
xerox7_m_t0p03-w0p02,1056634028,7,12,155731.615692,20.277554,65.731445,80.320000,1337.082784,41.002325,32.609926,0.303000,10.797000,
xerox7_m_t0p03-w0p02,1486441653,7,12,132078.911224,17.197775,65.899624,79.330000,1466.055817,36.680874,39.967854,0.304000,10.847000,
xerox7_m_t0p03-w0p2,946615675,7,12,148137.944152,19.288795,67.631746,82.390000,1277.693708,36.716669,34.798737,0.258000,8.323000,
xerox7_m_t0p03-w0p2,1056634028,7,12,155113.044336,20.197011,65.498501,83.370000,1390.875717,42.769856,32.520000,0.253000,7.553000,
xerox7_m_t0p03-w0p2,1486441653,7,12,126514.109634,16.473191,65.794893,79.420000,1377.759279,40.586444,33.946292,0.268000,7.825000,
xerox7_m_t0p03-w2,946615675,7,12,85370.468008,11.115946,67.647402,81.170000,1302.121899,34.719226,37.504347,0.269000,8.130000,
xerox7_m_t0p03-w2,1056634028,7,12,89350.186486,11.634139,67.667434,82.940000,1340.331893,36.534310,36.686936,0.283000,8.237000,
xerox7_m_t0p03-w2,1486441653,7,12,104568.934044,13.615747,66.195400,81.070000,1284.063927,39.448891,32.550064,0.250000,8.095000,
xerox7_m_t0p03-w50,946615675,7,12,353822.752042,46.070671,55.574749,78.130000,4696.501415,60.471614,77.664562,0.267000,7.692000,
xerox7_m_t0p03-w50,1056634028,7,12,116794.078450,15.207562,66.868738,81.220000,1447.270786,37.995118,38.090967,0.228000,11.049000,
xerox7_m_t0p03-w50,1486441653,7,12,213135.313058,27.751994,62.883738,81.510000,2138.491494,49.792141,42.948374,0.262000,9.336000,
xerox7_m_t0p1-w0,946615675,7,12,141098.818028,18.372242,64.372903,77.880000,1823.731919,42.655761,42.754645,0.248000,10.363000,
xerox7_m_t0p1-w0,1056634028,7,12,157185.244750,20.466829,66.533936,80.210000,1405.927174,38.230578,36.774939,0.252000,11.183000,
xerox7_m_t0p1-w0,1486441653,7,12,135041.882860,17.583578,64.714487,78.510000,1623.603141,37.341078,43.480350,0.230000,10.465000,
xerox7_m_t0p1-w0p02,946615675,7,12,123314.246378,16.056542,65.152087,80.180000,1590.707682,42.236685,37.661755,0.240000,10.705000,
xerox7_m_t0p1-w0p02,1056634028,7,12,115197.828826,14.999717,64.261489,78.870000,1453.592274,44.562543,32.619150,0.251000,10.281000,
