case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error,case_src,srcs,pareto_layer
hp11_m,121,11,22,269989.935466,23.436626,72.736616,91.660000,1772.254620,42.525017,41.675577,0.847000,7.945000,,hp11_m_thermal1_wirelength0p02,ours_50set.csv;result.csv,3
hp11_m,121,11,22,252404.862674,21.910144,72.349321,91.670000,1789.940877,42.940283,41.684422,0.872000,7.822000,,hp11_m_thermal3_wirelength0p02,ours_50set.csv;result.csv,3
hp11_m,121,11,22,204698.629540,17.768978,74.733997,98.300000,1625.283520,40.292312,40.337311,0.852000,8.308000,,hp11_m_thermal0p3_wirelength2,ours_50set.csv;result.csv,3
hp11_m,62,11,22,207045.171538,17.972671,74.240618,97.090000,1768.362376,42.074407,42.029407,1.301000,11.363000,,hp11_m,ours_50set.csv;result_old.csv,3
hp11_m,121,11,22,277409.541856,24.080689,73.204236,94.760000,1759.791581,42.264169,41.637908,0.924000,8.142000,,hp11_m_thermal30_wirelength0p02,ours_50set.csv;result.csv,3
hp11_m,121,11,22,293831.039804,25.506167,73.345151,94.750000,1753.354702,41.932787,41.813455,0.868000,8.047000,,hp11_m_thermal100_wirelength0p02,ours_50set.csv;result.csv,3
hp11_m,121,11,22,235801.154870,20.468850,73.815806,97.030000,1574.545476,42.133044,37.370798,0.880000,8.058000,,hp11_m_thermal1_wirelength0p2,ours_50set.csv;result.csv,3
hp11_m,121,11,22,228572.800082,19.841389,73.163284,96.380000,1671.057367,43.058075,38.809384,0.913000,8.142000,,hp11_m_thermal30_wirelength0,ours_50set.csv;result.csv,3
hp11_m,121,11,22,228719.600824,19.854132,74.076274,96.470000,1667.075222,40.360527,41.304595,0.884000,8.184000,,hp11_m_thermal30_wirelength0p2,ours_50set.csv;result.csv,3
hp11_m,121,11,22,308333.518560,26.765062,72.612578,94.960000,1747.371103,42.169753,41.436598,0.857000,7.969000,,hp11_m_thermal100_wirelength0,ours_50set.csv;result.csv,3
hp11_m,121,11,22,270321.648472,23.465421,72.889631,95.710000,1695.191429,43.358105,39.097452,0.861000,8.148000,,hp11_m_thermal10_wirelength0,ours_50set.csv;result.csv,3
hp11_m,121,11,22,242559.355628,21.055500,73.942041,97.070000,1645.557843,41.555384,39.599149,0.871000,8.084000,,hp11_m_thermal0p3_wirelength0p2,ours_50set.csv;result.csv,4
hp11_m,121,11,22,236722.178798,20.548800,70.672996,98.300000,1745.248353,35.457515,49.220831,0.902000,7.567000,,hp11_m_thermal3_wirelength50,ours_50set.csv;result.csv,4
hp11_m,71,11,22,251725.571550,21.851178,72.573662,98.610000,1783.093265,42.701157,41.757493,1.226000,10.664000,,hp11_m,result_old.csv,5
hp11_m,121,11,22,253491.310848,22.004454,73.631409,97.240000,1723.023467,42.226042,40.804759,0.879000,8.200000,,hp11_m_thermal0p1_wirelength0p2,ours_50set.csv;result.csv,5
